Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
RED_PRIEST,Red Priest,,3,10,4,0.385427,0.406095,0,4
MINISA,Minisa,,1,2,5,0.2827,0.294652,0,5
FLYNN,Flynn,,3,6,5,0.279944,0.292786,0,2
MARWYN,Marwin,,5,100,4,0.376757,0.397803,7.150526,1
HARRAG,Harrag,,2,27,4,0.348656,0.363184,0,5
ALYS,Alys,,23,100,4,0.469626,0.49772,16.807607,1
NED_UMBER,Ned Umber,,7,21,4,0.402402,0.42641,0.0625,1
QHONO,Qhono,,25,88,4,0.471831,0.501036,2.983375,1
NORA,Nora,,3,48,4,0.358929,0.377488,0,2
VICKY,Vicky,,3,39,4,0.358929,0.377488,0,2
CRAYAH,Crayah,,5,27,5,0.345658,0.363682,404.152907,4
DIRAH,Dirah,,3,20,5,0.339527,0.354975,0,4
HARRY,Harry,,5,21,4,0.389158,0.411484,0,4
MARTHA,Martha,,1,11,4,0.344473,0.356758,0,4
WILLA,Willa,,4,11,4,0.374302,0.3949,0,1
OWEN,Owen,,2,6,5,0.352323,0.369279,401,2
TEELA,Teela,,7,16,4,0.373259,0.396766,0,1
DORNISH_PRINCE,Dornish Prince,,17,37,4,0.436009,0.465796,0,3
RIVERLANDS_LORD,Riverlands Lord,,17,36,4,0.436009,0.465796,0,3
VALE_LORD,Vale Lord,,17,36,4,0.436009,0.465796,0,3
UNSULLIED_CAPTAIN,Unsullied Captain,,2,5,4,0.365787,0.383085,0,0
SARRA,Sarra,,4,9,4,0.374302,0.3949,0,1
IRONBORN_LORD,Ironborn Lord,,17,36,4,0.436009,0.465796,0,3
ALANNA,Alanna,,1,2,6,0.2607,0.268076,0,2
CERSEIS_BABY,Cersei's Baby,,3,6,4,0.382857,0.4034,0,4
WILLIAM,William,,1,2,6,0.257033,0.264552,0,4
WOLKAN,Wolkan,,0,0,0,0,0,0,8
