Source,Target,Type,Id,Label,timeset,Weight
ADDAM_MARBRAND,TYWIN,Undirected,404,,,2
AEGON,AERYS,Undirected,405,,,2
AEGON,MAESTER_AEMON,Undirected,406,,,5
AERYS,BARRISTAN,Undirected,407,,,7
AERYS,CATELYN,Undirected,408,,,2
AERYS,JORAH,Undirected,409,,,2
AERYS,MAESTER_AEMON,Undirected,410,,,2
AERYS,RENLY,Undirected,411,,,2
AERYS,SANSA,Undirected,412,,,4
AERYS,SEPTA_MORDANE,Undirected,413,,,2
ALLISER_THORNE,MAESTER_AEMON,Undirected,414,,,17
ARYA,ILLYRIO,Undirected,415,,,2
ARYA,LOMMY_GREENHANDS,Undirected,416,,,2
ARYA,TYRION,Undirected,417,,,18
ASSASSIN,BRAN,Undirected,418,,,2
ASSASSIN,ROBB,Undirected,419,,,2
BAELOR,CERSEI,Undirected,420,,,2
BAELOR,HOUND,Undirected,421,,,2
BAELOR,JOFFREY,Undirected,422,,,4
BAELOR,PYCELLE,Undirected,423,,,2
BAELOR,SANSA,Undirected,424,,,2
BALON,TYRION,Undirected,425,,,2
BENJEN,CATELYN,Undirected,426,,,2
BENJEN,CERSEI,Undirected,427,,,2
BENJEN,JEOR,Undirected,428,,,2
BENJEN,ROBERT,Undirected,429,,,2
BERIC,ROBERT,Undirected,430,,,2
BORCAS,DAREON,Undirected,431,,,2
BORCAS,PYP,Undirected,432,,,2
BOWEN_MARSH,DAREON,Undirected,433,,,2
BOWEN_MARSH,PYP,Undirected,434,,,2
BRAN,BRANDON_STARK,Undirected,435,,,2
BRAN,HOUND,Undirected,436,,,2
BRANDON_STARK,CATELYN,Undirected,437,,,5
BRANDON_STARK,JON,Undirected,438,,,2
BRANDON_STARK,RICKARD_STARK,Undirected,439,,,2
BRONN,KEVAN,Undirected,440,,,2
BRONN,MARILLION,Undirected,441,,,2
CATELYN,DAENERYS,Undirected,442,,,2
CATELYN,HOUND,Undirected,443,,,4
CATELYN,STEVRON_FREY,Undirected,444,,,2
CERSEI,JEOR,Undirected,445,,,2
CERSEI,LYANNA,Undirected,446,,,2
CERSEI,MERYN_TRANT,Undirected,447,,,30
CERSEI,ROS,Undirected,448,,,2
CERSEI,STANNIS,Undirected,449,,,9
CERSEI,YOREN,Undirected,450,,,2
DAENERYS,JHIQUI,Undirected,451,,,2
DAENERYS,SANSA,Undirected,452,,,73
DAREON,GRENN,Undirected,453,,,2
DAREON,JEOR,Undirected,454,,,2
DAREON,LUKE,Undirected,455,,,2
DAREON,MAESTER_AEMON,Undirected,456,,,2
DAREON,RAST,Undirected,457,,,2
DOREAH,IROGENIA,Undirected,458,,,2
DOREAH,JHIQUI,Undirected,459,,,2
DOREAH,JORAH,Undirected,460,,,9
DROGO,IRRI,Undirected,461,,,2
DROGO,ROBERT,Undirected,462,,,2
GALBART_GLOVER,GREATJON_UMBER,Undirected,463,,,2
GALBART_GLOVER,JONOS_BRACKEN,Undirected,464,,,2
GALBART_GLOVER,ROBB,Undirected,465,,,2
GENDRY,VARYS,Undirected,466,,,2
GENDRY,YOREN,Undirected,467,,,9
GREATJON_UMBER,NED,Undirected,468,,,2
GREATJON_UMBER,RENLY,Undirected,469,,,2
GREATJON_UMBER,RICKARD_KARSTARK,Undirected,470,,,2
GREATJON_UMBER,STANNIS,Undirected,471,,,2
GREATJON_UMBER,WALDER,Undirected,472,,,2
HIGH_SEPTON,NED,Undirected,473,,,2
HODOR,OSHA,Undirected,474,,,38
HOUND,JAIME,Undirected,475,,,15
HOUND,ROBB,Undirected,476,,,4
HOUND,YOREN,Undirected,477,,,2
HUGH_OF_THE_VALE,JON_ARRYN,Undirected,478,,,2
HUGH_OF_THE_VALE,MOUNTAIN,Undirected,479,,,2
HUGH_OF_THE_VALE,SANSA,Undirected,480,,,2
ILLYRIO,JORAH,Undirected,481,,,2
ILYN_PAYNE,MERYN_TRANT,Undirected,482,,,4
ILYN_PAYNE,VARYS,Undirected,483,,,2
JAIME,JON_ARRYN,Undirected,484,,,2
JAIME,RICKARD_STARK,Undirected,485,,,2
JAIME,SANSA,Undirected,486,,,30
JAIME,TYSHA,Undirected,487,,,2
JANOS,LITTLEFINGER,Undirected,488,,,6
JANOS,PYCELLE,Undirected,489,,,4
JAREMY_RYKKER,JEOR,Undirected,490,,,2
JAREMY_RYKKER,OTHELL_YARWYCK,Undirected,491,,,2
JAREMY_RYKKER,PYP,Undirected,492,,,2
JEOR,JOFFREY,Undirected,493,,,2
JOANNA,TYRION,Undirected,494,,,2
JOFFREY,JON,Undirected,495,,,2
JOFFREY,TOMMEN,Undirected,496,,,26
JOFFREY,WILL,Undirected,497,,,2
JON,RODRIK,Undirected,498,,,2
JON,ROS,Undirected,499,,,2
JON_ARRYN,VARYS,Undirected,500,,,2
JORAH,LITTLE_BIRD,Undirected,501,,,2
JORAH,NED,Undirected,502,,,2
JORAH,VARYS,Undirected,503,,,25
JORY_CASSEL,MHAEGEN,Undirected,504,,,2
JORY_CASSEL,THEON,Undirected,505,,,2
JOYEUSE,WALDER,Undirected,506,,,6
KEVAN,LEO_LEFFORD,Undirected,507,,,2
KEVAN,SHAGGA,Undirected,508,,,2
LANCEL,RENLY,Undirected,509,,,2
LEO_LEFFORD,TYRION,Undirected,510,,,2
LITTLEFINGER,LORAS,Undirected,511,,,19
LITTLEFINGER,MHAEGEN,Undirected,512,,,2
LITTLEFINGER,YOREN,Undirected,513,,,2
LORAS,MACE,Undirected,514,,,8
LUKE,PYP,Undirected,515,,,2
MAESTER_LUWIN,ROBERT,Undirected,516,,,2
MAESTER_LUWIN,RODRIK,Undirected,517,,,7
MAESTER_LUWIN,SANSA,Undirected,518,,,2
MARILLION,MERYN_TRANT,Undirected,519,,,2
MARILLION,YOREN,Undirected,520,,,2
MELESSA,SAM,Undirected,521,,,25
MORD,RODRIK,Undirected,522,,,2
NED,ROOSE_BOLTON,Undirected,523,,,2
NED,ROS,Undirected,524,,,2
NED,STEFFON,Undirected,525,,,2
NED,VARLY,Undirected,526,,,2
OLD_NAN,THEON,Undirected,527,,,2
OTHELL_YARWYCK,PYP,Undirected,528,,,2
OTHOR,PYP,Undirected,529,,,2
OTHOR,SAM,Undirected,530,,,2
PYCELLE,TYWIN,Undirected,531,,,28
PYCELLE,YOREN,Undirected,532,,,2
RANDYLL,SAM,Undirected,533,,,30
